stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,source_url,listed_by_year_end
002746,2014,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,0
300498,2014,温氏食品集团股份有限公司,深圳证券交易所,温氏股份,2015-11-02,广东温氏食品集团股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,上市公司完成公司名称工商登记变更公告,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300498,0
300970,2019,江苏华绿生物科技集团股份有限公司,深圳证券交易所,华绿生物,2021-04-12,江苏华绿生物科技股份有限公司,2019,recognition,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,https://static.cninfo.com.cn/finalpage/2026-02-11/1224977414.PDF,法律意见书以同一统一社会信用代码和证券代码连接当前名称与原上市名称,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300970,0
300970,2020,江苏华绿生物科技集团股份有限公司,深圳证券交易所,华绿生物,2021-04-12,江苏华绿生物科技股份有限公司,2019,recognition,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,https://static.cninfo.com.cn/finalpage/2026-02-11/1224977414.PDF,法律意见书以同一统一社会信用代码和证券代码连接当前名称与原上市名称,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300970,0
