stock_code,exchange,current_short_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,query_period,retrieved_date,review_status
000711,深圳证券交易所,ST京蓝,gssz0000711,1216661988,公司股票被实施退市风险警示、其他风险警示暨停牌的公告,京蓝科技,2023-04-27,https://static.cninfo.com.cn/finalpage/2023-04-28/1216661988.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
000711,深圳证券交易所,ST京蓝,gssz0000711,1216993717,关于因被法院受理重整申请公司股票被叠加实施退市风险警示的公告,*ST京蓝,2023-06-05,https://static.cninfo.com.cn/finalpage/2023-06-06/1216993717.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
000711,深圳证券交易所,ST京蓝,gssz0000711,1217030269,因主要银行账户被冻结公司股票交易被叠加实施其他风险警示的公告,*ST京蓝,2023-06-09,https://static.cninfo.com.cn/finalpage/2023-06-10/1217030269.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
000711,深圳证券交易所,ST京蓝,gssz0000711,1218733661,关于申请撤销公司股票因重整而被实施退市风险警示暨继续被实施退市风险警示及其他风险警示的公告,*ST京蓝,2023-12-26,https://static.cninfo.com.cn/finalpage/2023-12-27/1218733661.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1202284334,关于公司股票交易实行退市风险警示的公告,獐 子 岛,2016-05-02,https://static.cninfo.com.cn/finalpage/2016-05-03/1202284334.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1203181619,关于申请撤销股票交易退市风险警示的公告,*ST獐岛,2017-03-20,https://static.cninfo.com.cn/finalpage/2017-03-21/1203181619.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1203238440,关于公司股票撤销退市风险警示的公告,*ST獐岛,2017-03-30,https://static.cninfo.com.cn/finalpage/2017-03-31/1203238440.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1213263536,关于公司股票实行其他风险警示暨股票停牌的提示性公告,獐子岛,2022-04-29,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263536.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1216696147,关于申请撤销其他风险警示的公告,ST獐子岛,2023-04-28,https://static.cninfo.com.cn/finalpage/2023-04-29/1216696147.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002069,深圳证券交易所,獐子岛,9900000781,1216922290,关于撤销其他风险警示暨停复牌的公告,ST獐子岛,2023-05-26,https://static.cninfo.com.cn/finalpage/2023-05-27/1216922290.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1205834790,关于公司股票实施其他风险警示的公告,东方海洋,2019-02-14,https://static.cninfo.com.cn/finalpage/2019-02-15/1205834790.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1206350412,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-06-12,https://static.cninfo.com.cn/finalpage/2019-06-13/1206350412.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1206443861,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-07-12,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443861.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1206518336,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-08-13,https://static.cninfo.com.cn/finalpage/2019-08-14/1206518336.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1206917634,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-09-11,https://static.cninfo.com.cn/finalpage/2019-09-12/1206917634.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1206975626,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-10-11,https://static.cninfo.com.cn/finalpage/2019-10-12/1206975626.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207087303,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-11-13,https://static.cninfo.com.cn/finalpage/2019-11-14/1207087303.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207124580,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-11-29,https://static.cninfo.com.cn/finalpage/2019-11-30/1207124580.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207207749,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2019-12-30,https://static.cninfo.com.cn/finalpage/2019-12-31/1207207749.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207289158,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2020-02-03,https://static.cninfo.com.cn/finalpage/2020-02-04/1207289158.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207347995,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2020-03-05,https://static.cninfo.com.cn/finalpage/2020-03-06/1207347995.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207462333,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2020-04-07,https://static.cninfo.com.cn/finalpage/2020-04-08/1207462333.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207722843,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2020-05-08,https://static.cninfo.com.cn/finalpage/2020-05-09/1207722843.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207907437,关于公司股票被实行其他风险警示相关事项进展公告,ST东海洋,2020-06-08,https://static.cninfo.com.cn/finalpage/2020-06-09/1207907437.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1207968713,关于股票实施退市风险警示暨临时停牌的公告,ST东海洋,2020-06-29,https://static.cninfo.com.cn/finalpage/2020-06-30/1207968713.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208015885,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-07-08,https://static.cninfo.com.cn/finalpage/2020-07-09/1208015885.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208103632,关于公司主要银行账户被冻结事项触发其他风险警示情形的公告,*ST东洋,2020-07-30,https://static.cninfo.com.cn/finalpage/2020-07-31/1208103632.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208323098,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-08-28,https://static.cninfo.com.cn/finalpage/2020-08-29/1208323098.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208496240,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-09-27,https://static.cninfo.com.cn/finalpage/2020-09-28/1208496240.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208647520,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-10-29,https://static.cninfo.com.cn/finalpage/2020-10-30/1208647520.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208804637,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-11-26,https://static.cninfo.com.cn/finalpage/2020-11-27/1208804637.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1208970910,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2020-12-23,https://static.cninfo.com.cn/finalpage/2020-12-24/1208970910.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1209216370,关于公司股票被实行其他风险警示相关事项进展公告,*ST东洋,2021-01-29,https://static.cninfo.com.cn/finalpage/2021-01-30/1209216370.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1209309392,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-02-26,https://static.cninfo.com.cn/finalpage/2021-02-27/1209309392.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1209473118,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-03-29,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473118.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1209872464,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-04-29,https://static.cninfo.com.cn/finalpage/2021-04-30/1209872464.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1209872476,关于公司股票被叠加实施其他风险警示的公告,*ST东洋,2021-04-29,https://static.cninfo.com.cn/finalpage/2021-04-30/1209872476.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1210122383,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-05-28,https://static.cninfo.com.cn/finalpage/2021-05-29/1210122383.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1210363992,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-06-29,https://static.cninfo.com.cn/finalpage/2021-06-30/1210363992.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1210602030,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-07-29,https://static.cninfo.com.cn/finalpage/2021-07-30/1210602030.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1210897888,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-08-29,https://static.cninfo.com.cn/finalpage/2021-08-30/1210897888.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1211181608,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-09-29,https://static.cninfo.com.cn/finalpage/2021-09-30/1211181608.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1211421717,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-10-28,https://static.cninfo.com.cn/finalpage/2021-10-29/1211421717.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1211625937,关于公司股票被实行其他风险警示相关事项的进展公告,*ST东洋,2021-11-18,https://static.cninfo.com.cn/finalpage/2021-11-19/1211625937.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212003043,关于申请撤销公司股票交易退市风险警示的公告,*ST东洋,2021-12-23,https://static.cninfo.com.cn/finalpage/2021-12-24/1212003043.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212003897,关于撤销公司股票交易退市风险实行其他风险警示暨停牌的的公告,*ST东洋,2021-12-23,https://static.cninfo.com.cn/finalpage/2021-12-24/1212003897.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212055330,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2021-12-29,https://static.cninfo.com.cn/finalpage/2021-12-30/1212055330.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212219968,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-01-19,https://static.cninfo.com.cn/finalpage/2022-01-20/1212219968.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212452689,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-02-24,https://static.cninfo.com.cn/finalpage/2022-02-25/1212452689.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1212743675,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-03-30,https://static.cninfo.com.cn/finalpage/2022-03-31/1212743675.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1213266477,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-04-29,https://static.cninfo.com.cn/finalpage/2022-04-30/1213266477.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1213266526,关于公司股票被叠加实施其他风险警示的公告,ST东洋,2022-04-29,https://static.cninfo.com.cn/finalpage/2022-04-30/1213266526.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1213550381,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-05-30,https://static.cninfo.com.cn/finalpage/2022-05-31/1213550381.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1213877237,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-06-29,https://static.cninfo.com.cn/finalpage/2022-06-30/1213877237.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1214157716,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-07-28,https://static.cninfo.com.cn/finalpage/2022-07-29/1214157716.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1214470354,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-08-30,https://static.cninfo.com.cn/finalpage/2022-08-31/1214470354.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
