stock_code,exchange,current_short_name,org_id,keyword,query_status,api_reported_total,pages_retrieved,retrieved_date
002041,深圳证券交易所,登海种业,gssz0002041,终止上市,检索完成,0,1,2026-08-06
002041,深圳证券交易所,登海种业,gssz0002041,退市整理期,检索完成,0,1,2026-08-06
002069,深圳证券交易所,獐子岛,9900000781,恢复上市,检索完成,0,1,2026-08-06
002069,深圳证券交易所,獐子岛,9900000781,暂停上市,检索完成,0,1,2026-08-06
002069,深圳证券交易所,獐子岛,9900000781,终止上市,检索完成,0,1,2026-08-06
002069,深圳证券交易所,獐子岛,9900000781,退市整理期,检索完成,0,1,2026-08-06
002086,深圳证券交易所,东方海洋,9900001344,恢复上市,检索完成,0,1,2026-08-06
002086,深圳证券交易所,东方海洋,9900001344,暂停上市,检索完成,0,1,2026-08-06
002086,深圳证券交易所,东方海洋,9900001344,终止上市,检索完成,13,1,2026-08-06
002086,深圳证券交易所,东方海洋,9900001344,退市整理期,检索完成,0,1,2026-08-06
002100,深圳证券交易所,天康生物,9900001641,恢复上市,检索完成,0,1,2026-08-06
002100,深圳证券交易所,天康生物,9900001641,暂停上市,检索完成,0,1,2026-08-06
002100,深圳证券交易所,天康生物,9900001641,终止上市,检索完成,0,1,2026-08-06
002100,深圳证券交易所,天康生物,9900001641,退市整理期,检索完成,0,1,2026-08-06
002124,深圳证券交易所,天邦食品,9900002441,恢复上市,检索完成,0,1,2026-08-06
002124,深圳证券交易所,天邦食品,9900002441,暂停上市,检索完成,0,1,2026-08-06
002124,深圳证券交易所,天邦食品,9900002441,终止上市,检索完成,0,1,2026-08-06
002124,深圳证券交易所,天邦食品,9900002441,退市整理期,检索完成,0,1,2026-08-06
002157,深圳证券交易所,正邦科技,9900003434,恢复上市,检索完成,0,1,2026-08-06
002157,深圳证券交易所,正邦科技,9900003434,暂停上市,检索完成,0,1,2026-08-06
002157,深圳证券交易所,正邦科技,9900003434,终止上市,检索完成,21,1,2026-08-06
002157,深圳证券交易所,正邦科技,9900003434,退市整理期,检索完成,0,1,2026-08-06
002166,深圳证券交易所,莱茵生物,9900003561,恢复上市,检索完成,0,1,2026-08-06
002166,深圳证券交易所,莱茵生物,9900003561,暂停上市,检索完成,0,1,2026-08-06
002166,深圳证券交易所,莱茵生物,9900003561,终止上市,检索完成,0,1,2026-08-06
002166,深圳证券交易所,莱茵生物,9900003561,退市整理期,检索完成,0,1,2026-08-06
002200,深圳证券交易所,交投生态,9900003907,恢复上市,检索完成,0,1,2026-08-06
002200,深圳证券交易所,交投生态,9900003907,暂停上市,检索完成,0,1,2026-08-06
002200,深圳证券交易所,交投生态,9900003907,终止上市,检索完成,0,1,2026-08-06
002200,深圳证券交易所,交投生态,9900003907,退市整理期,检索完成,0,1,2026-08-06
002216,深圳证券交易所,三全食品,9900004261,恢复上市,检索完成,0,1,2026-08-06
002216,深圳证券交易所,三全食品,9900004261,暂停上市,检索完成,0,1,2026-08-06
002216,深圳证券交易所,三全食品,9900004261,终止上市,检索完成,0,1,2026-08-06
002216,深圳证券交易所,三全食品,9900004261,退市整理期,检索完成,0,1,2026-08-06
002234,深圳证券交易所,民和股份,9900004604,恢复上市,检索完成,0,1,2026-08-06
002234,深圳证券交易所,民和股份,9900004604,暂停上市,检索完成,0,1,2026-08-06
002234,深圳证券交易所,民和股份,9900004604,终止上市,检索完成,0,1,2026-08-06
002234,深圳证券交易所,民和股份,9900004604,退市整理期,检索完成,0,1,2026-08-06
002286,深圳证券交易所,保龄宝,9900007927,恢复上市,检索完成,0,1,2026-08-06
