stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
600108,2013,甘肃亚盛实业(集团)股份有限公司,亚盛集团,行业分类候选,63914686,2013年年度报告,亚盛集团,2014-04-24,https://static.cninfo.com.cn/finalpage/2014-04-25/63914686.PDF,2235,2026-08-06,已取得法定年度报告链接
600257,2013,大湖健康产业股份有限公司,大湖股份,行业分类候选,63941109,2013年年度报告(修订版),大湖股份,2014-04-28,https://static.cninfo.com.cn/finalpage/2014-04-29/63941109.PDF,1764,2026-08-06,已取得法定年度报告链接
600265,2013,云南景谷林业股份有限公司,*ST景谷,行业分类候选,63872933,2013年年度报告,*ST景谷,2014-04-18,https://static.cninfo.com.cn/finalpage/2014-04-19/63872933.PDF,2551,2026-08-06,已取得法定年度报告链接
600354,2013,甘肃省敦煌种业集团股份有限公司,敦煌种业,行业分类候选,63821344,2013年年度报告,敦煌种业,2014-04-10,https://static.cninfo.com.cn/finalpage/2014-04-11/63821344.PDF,8144,2026-08-06,已取得法定年度报告链接
600359,2013,新疆塔里木农业综合开发股份有限公司,新农开发,行业分类候选,63693871,2013年年度报告(修订版),新农开发,2014-03-18,https://static.cninfo.com.cn/finalpage/2014-03-19/63693871.PDF,5437,2026-08-06,已取得法定年度报告链接
600371,2013,万向德农股份有限公司,万向德农,行业分类候选,63901035,2013年年度报告,万向德农,2014-04-23,https://static.cninfo.com.cn/finalpage/2014-04-24/63901035.PDF,1566,2026-08-06,已取得法定年度报告链接
600467,2013,山东好当家海洋发展股份有限公司,好当家,行业分类候选,63893669,2013年年度报告,好当家,2014-04-22,https://static.cninfo.com.cn/finalpage/2014-04-23/63893669.PDF,1969,2026-08-06,已取得法定年度报告链接
600506,2013,统一低碳科技(新疆)股份有限公司,统一股份,行业分类候选,63720145,2013年年度报告,香梨股份,2014-03-24,https://static.cninfo.com.cn/finalpage/2014-03-25/63720145.PDF,1869,2026-08-06,已取得法定年度报告链接
600540,2013,新疆赛里木现代农业股份有限公司,新赛股份,行业分类候选,63954642,2013年年度报告,新赛股份,2014-04-29,https://static.cninfo.com.cn/finalpage/2014-04-30/63954642.PDF,2245,2026-08-06,已取得法定年度报告链接
600598,2013,黑龙江北大荒农业股份有限公司,北大荒,行业分类候选,63733625,2013年年度报告,北大荒,2014-03-26,https://static.cninfo.com.cn/finalpage/2014-03-27/63733625.PDF,2432,2026-08-06,已取得法定年度报告链接
600965,2013,河北福成五丰食品股份有限公司,*ST福成,行业分类候选,63860299,2013年年度报告(修订版),福成五丰,2014-04-17,https://static.cninfo.com.cn/finalpage/2014-04-18/63860299.PDF,2018,2026-08-06,已取得法定年度报告链接
600975,2013,湖南新五丰股份有限公司,新五丰,行业分类候选,63717879,2013年年度报告,新五丰,2014-03-24,https://static.cninfo.com.cn/finalpage/2014-03-25/63717879.PDF,2611,2026-08-06,已取得法定年度报告链接
601118,2013,海南天然橡胶产业集团股份有限公司,海南橡胶,行业分类候选,63863610,2013年年度报告,海南橡胶,2014-04-17,https://static.cninfo.com.cn/finalpage/2014-04-18/63863610.PDF,2294,2026-08-06,已取得法定年度报告链接
000592,2014,中福海峡（平潭）发展股份有限公司,平潭发展,行业分类候选,1200834190,2014年年度报告,平潭发展,2015-04-14,https://static.cninfo.com.cn/finalpage/2015-04-15/1200834190.PDF,1223,2026-08-06,已取得法定年度报告链接
000623,2014,吉林敖东药业集团股份有限公司,吉林敖东,龙头企业身份核实候选,1200873310,2014年年度报告,吉林敖东,2015-04-20,https://static.cninfo.com.cn/finalpage/2015-04-21/1200873310.PDF,3783,2026-08-06,已取得法定年度报告链接
000663,2014,福建省永安林业(集团)股份有限公司,永安林业,行业分类候选+龙头企业身份核实候选,1200643873,2014年年度报告,永安林业,2015-02-16,https://static.cninfo.com.cn/finalpage/2015-02-17/1200643873.PDF,2558,2026-08-06,已取得法定年度报告链接
000713,2014,国投丰乐种业股份有限公司,国投丰乐,行业分类候选+龙头企业身份核实候选,1200755414,2014年年度报告,丰乐种业,2015-03-29,https://static.cninfo.com.cn/finalpage/2015-03-30/1200755414.PDF,2796,2026-08-06,已取得法定年度报告链接
000735,2014,罗牛山股份有限公司,罗 牛 山,行业分类候选+龙头企业身份核实候选,1200724489,2014年年度报告（更新后）,罗 牛 山,2015-03-20,https://static.cninfo.com.cn/finalpage/2015-03-21/1200724489.PDF,3239,2026-08-06,已取得法定年度报告链接
000798,2014,中水集团远洋股份有限公司,中水渔业,行业分类候选,1200754520,2014年年度报告,中水渔业,2015-03-29,https://static.cninfo.com.cn/finalpage/2015-03-30/1200754520.PDF,790,2026-08-06,已取得法定年度报告链接
000848,2014,承德露露股份公司,承德露露,龙头企业身份核实候选,1200720080,2014年年度报告,承德露露,2015-03-19,https://static.cninfo.com.cn/finalpage/2015-03-20/1200720080.PDF,663,2026-08-06,已取得法定年度报告链接
000860,2014,北京顺鑫农业股份有限公司,顺鑫农业,龙头企业身份核实候选,1200736899,2014年年度报告,顺鑫农业,2015-03-24,https://static.cninfo.com.cn/finalpage/2015-03-25/1200736899.PDF,1380,2026-08-06,已取得法定年度报告链接
