stock_code,exchange,current_short_name,org_id,query_status,announcement_count,api_reported_total,pages_retrieved,retrieved_date
300106,深圳证券交易所,西部牧业,9900013409,检索完成,0,0,1,2026-08-06
300119,深圳证券交易所,瑞普生物,9900013869,检索完成,0,0,1,2026-08-06
300138,深圳证券交易所,晨光生物,9900014768,检索完成,0,0,1,2026-08-06
300143,深圳证券交易所,盈康生命,9900015468,检索完成,0,0,1,2026-08-06
300158,深圳证券交易所,振东制药,9900015689,检索完成,0,0,1,2026-08-06
300189,深圳证券交易所,神农种业,9900017647,检索完成,0,0,1,2026-08-06
300313,深圳证券交易所,天山生物,9900021985,检索完成,9,9,1,2026-08-06
300498,深圳证券交易所,温氏股份,9900009247,检索完成,0,0,1,2026-08-06
300511,深圳证券交易所,雪榕生物,9900024682,检索完成,0,0,1,2026-08-06
300761,深圳证券交易所,立华股份,9900032565,检索完成,0,0,1,2026-08-06
300783,深圳证券交易所,三只松鼠,9900035084,检索完成,0,0,1,2026-08-06
300871,深圳证券交易所,回盛生物,9900039738,检索完成,0,0,1,2026-08-06
300898,深圳证券交易所,熊猫乳品,gfbj0832559,检索完成,0,0,1,2026-08-06
300908,深圳证券交易所,仲景食品,9900039763,检索完成,0,0,1,2026-08-06
300967,深圳证券交易所,晓鸣股份,gfbj0831243,检索完成,0,0,1,2026-08-06
300970,深圳证券交易所,华绿生物,gfbj0832838,检索完成,0,0,1,2026-08-06
300972,深圳证券交易所,万辰集团,gfbj0833260,检索完成,0,0,1,2026-08-06
301116,深圳证券交易所,益客食品,9900028946,检索完成,0,0,1,2026-08-06
301498,深圳证券交易所,乖宝宠物,9900046969,检索完成,0,0,1,2026-08-06
600097,上海证券交易所,开创国际,gssh0600097,检索完成,0,0,1,2026-08-06
600108,上海证券交易所,亚盛集团,gssh0600108,检索完成,0,0,1,2026-08-06
600127,上海证券交易所,金健米业,gssh0600127,检索完成,0,0,1,2026-08-06
600129,上海证券交易所,太极集团,gssh0600129,检索完成,0,0,1,2026-08-06
600195,上海证券交易所,中牧股份,gssh0600195,检索完成,0,0,1,2026-08-06
600211,上海证券交易所,西藏药业,gssh0600211,检索完成,0,0,1,2026-08-06
600238,上海证券交易所,ST椰岛,gssh0600238,检索完成,8,8,1,2026-08-06
600251,上海证券交易所,冠农股份,gssh0600251,检索完成,0,0,1,2026-08-06
600257,上海证券交易所,大湖股份,gssh0600257,检索完成,0,0,1,2026-08-06
600265,上海证券交易所,*ST景谷,gssh0600265,检索完成,18,18,1,2026-08-06
600285,上海证券交易所,羚锐制药,gssh0600285,检索完成,0,0,1,2026-08-06
600295,上海证券交易所,鄂尔多斯,gssh0600295,检索完成,0,0,1,2026-08-06
600300,上海证券交易所,维维股份,gssh0600300,检索完成,14,14,1,2026-08-06
600305,上海证券交易所,恒顺醋业,gssh0600305,检索完成,0,0,1,2026-08-06
600313,上海证券交易所,农发种业,gssh0600313,检索完成,0,0,1,2026-08-06
600351,上海证券交易所,亚宝药业,gssh0600351,检索完成,0,0,1,2026-08-06
600354,上海证券交易所,敦煌种业,gssh0600354,检索完成,6,6,1,2026-08-06
600359,上海证券交易所,新农开发,gssh0600359,检索完成,2,2,1,2026-08-06
600371,上海证券交易所,万向德农,gssh0600371,检索完成,0,0,1,2026-08-06
600419,上海证券交易所,天润乳业,gssh0600419,检索完成,0,0,1,2026-08-06
600429,上海证券交易所,三元股份,gssh0600429,检索完成,0,0,1,2026-08-06
600438,上海证券交易所,通威股份,gssh0600438,检索完成,0,0,1,2026-08-06
600467,上海证券交易所,好当家,gssh0600467,检索完成,0,0,1,2026-08-06
600479,上海证券交易所,千金药业,gssh0600479,检索完成,0,0,1,2026-08-06
600506,上海证券交易所,统一股份,gssh0600506,检索完成,7,7,1,2026-08-06
600540,上海证券交易所,新赛股份,gssh0600540,检索完成,6,6,1,2026-08-06
600543,上海证券交易所,*ST莫高,gssh0600543,检索完成,4,4,1,2026-08-06
600597,上海证券交易所,光明乳业,gssh0600597,检索完成,0,0,1,2026-08-06
600598,上海证券交易所,北大荒,gssh0600598,检索完成,7,7,1,2026-08-06
600737,上海证券交易所,中粮糖业,gssh0600737,检索完成,0,0,1,2026-08-06
600873,上海证券交易所,梅花生物,gssh0600873,检索完成,0,0,1,2026-08-06
600882,上海证券交易所,妙可蓝多,gssh0600882,检索完成,0,0,1,2026-08-06
