stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,retrieved_date
000423,深圳证券交易所,东阿阿胶,东阿阿胶股份有限公司,gssz0000423,检索完成,0,2026-08-06
000538,深圳证券交易所,云南白药,云南白药集团股份有限公司,gssz0000538,检索完成,0,2026-08-06
000568,深圳证券交易所,泸州老窖,泸州老窖股份有限公司,gssz0000568,检索完成,0,2026-08-06
000623,深圳证券交易所,吉林敖东,吉林敖东药业集团股份有限公司,gssz0000623,检索完成,0,2026-08-06
000663,深圳证券交易所,永安林业,福建省永安林业(集团)股份有限公司,gssz0000663,检索完成,0,2026-08-06
000735,深圳证券交易所,罗 牛 山,罗牛山股份有限公司,gssz0000735,检索完成,0,2026-08-06
000848,深圳证券交易所,承德露露,承德露露股份公司,gssz0000848,检索完成,2,2026-08-06
000860,深圳证券交易所,顺鑫农业,北京顺鑫农业股份有限公司,gssz0000860,检索完成,0,2026-08-06
000910,深圳证券交易所,大亚圣象,大亚圣象家居股份有限公司,gssz0000910,检索完成,4,2026-08-06
000998,深圳证券交易所,隆平高科,袁隆平农业高科技股份有限公司,gssz0000998,检索完成,0,2026-08-06
001201,深圳证券交易所,东瑞股份,东瑞食品集团股份有限公司,9900036405,检索完成,0,2026-08-06
002041,深圳证券交易所,登海种业,山东登海种业股份有限公司,gssz0002041,检索完成,0,2026-08-06
002069,深圳证券交易所,獐子岛,獐子岛集团股份有限公司,9900000781,检索完成,0,2026-08-06
002086,深圳证券交易所,东方海洋,山东东方海洋科技股份有限公司,9900001344,检索完成,0,2026-08-06
002100,深圳证券交易所,天康生物,天康生物股份有限公司,9900001641,检索完成,0,2026-08-06
002124,深圳证券交易所,天邦食品,天邦食品股份有限公司,9900002441,检索完成,2,2026-08-06
002166,深圳证券交易所,莱茵生物,桂林莱茵生物科技股份有限公司,9900003561,检索完成,1,2026-08-06
002216,深圳证券交易所,三全食品,三全食品股份有限公司,9900004261,检索完成,1,2026-08-06
002234,深圳证券交易所,民和股份,山东民和牧业股份有限公司,9900004604,检索完成,0,2026-08-06
002286,深圳证券交易所,保龄宝,保龄宝生物股份有限公司,9900007927,检索完成,1,2026-08-06
002311,深圳证券交易所,海大集团,广东海大集团股份有限公司,9900009032,检索完成,1,2026-08-06
