stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,source_url,listed_by_year_end
002431,2014,棕榈生态城镇发展股份有限公司,深圳证券交易所,ST棕榈,2010-06-10,棕榈园林股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2016-04-22/1202217348.PDF,更名公告明确名单名称变更为当前公司名称且证券代码保持002431,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002431,1
002431,2015,棕榈生态城镇发展股份有限公司,深圳证券交易所,ST棕榈,2010-06-10,棕榈园林股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2016-04-22/1202217348.PDF,更名公告明确名单名称变更为当前公司名称且证券代码保持002431,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002431,1
002582,2014,好想你健康食品股份有限公司,深圳证券交易所,好想你,2011-05-20,好想你枣业股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-04-27/1204803986.PDF,年度报告明确公司在报告期内由名单名称变更为当前名称且证券代码为002582,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002582,1
002582,2015,好想你健康食品股份有限公司,深圳证券交易所,好想你,2011-05-20,好想你枣业股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-04-27/1204803986.PDF,年度报告明确公司在报告期内由名单名称变更为当前名称且证券代码为002582,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002582,1
002714,2014,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2015,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2018,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2019,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2020,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2021,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
