stock_code,exchange,short_name,legal_full_name,year,official_name_normalized,listed_by_year_end,leading_firm_it_candidate,final_variable_status,evidence_event_year,evidence_event_type,evidence_list_type,evidence_document_number,evidence_document_date,evidence_source_url,annual_timing_rule,coverage_status,list_date,source_url,retrieved_date
300511,深圳证券交易所,雪榕生物,上海雪榕生物科技股份有限公司,2014,上海雪榕生物科技股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2016-05-04,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300511,2026-08-06
300511,深圳证券交易所,雪榕生物,上海雪榕生物科技股份有限公司,2015,上海雪榕生物科技股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2016-05-04,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300511,2026-08-06
300908,深圳证券交易所,仲景食品,仲景食品股份有限公司,2019,仲景食品股份有限公司,0,0,排除：该公司截至该年末尚未上市,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2020-11-23,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300908,2026-08-06
300967,深圳证券交易所,晓鸣股份,宁夏晓鸣农牧股份有限公司,2019,宁夏晓鸣农牧股份有限公司,0,0,排除：该公司截至该年末尚未上市,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2021-04-13,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300967,2026-08-06
300967,深圳证券交易所,晓鸣股份,宁夏晓鸣农牧股份有限公司,2020,宁夏晓鸣农牧股份有限公司,0,0,排除：该公司截至该年末尚未上市,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2021-04-13,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300967,2026-08-06
301116,深圳证券交易所,益客食品,江苏益客食品集团股份有限公司,2020,江苏益客食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2022-01-18,https://www.szse.cn/api/report/index/companyGeneralization?secCode=301116,2026-08-06
301116,深圳证券交易所,益客食品,江苏益客食品集团股份有限公司,2021,江苏益客食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,2022-01-18,https://www.szse.cn/api/report/index/companyGeneralization?secCode=301116,2026-08-06
603151,上海证券交易所,邦基科技,山东邦基科技股份有限公司,2021,山东邦基科技股份有限公司,0,0,排除：该公司截至该年末尚未上市,2021,recognition,第七批新认定名单,农产发〔2021〕4号,2021-12-22,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20221019,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2014,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2015,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
