股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
300087,安徽荃银高科种业股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,农药|种子|粮油初加工|饲料,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-03-23/1219389382.PDF,17,已人工复核（第二批）,2021,0.475272,1.0,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
300094,湛江国联水产开发股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-30/1200945594.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.178494,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
300143,盈康生命科技股份有限公司,2014,1.0,农业,证监会2012年修订版,地产园林,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-24/1200898448.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.150356,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
300143,盈康生命科技股份有限公司,2015,1.0,农业,证监会2012年修订版,,不适用,不适用,https://static.cninfo.com.cn/finalpage/2016-03-16/1202048392.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.111855,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
300143,盈康生命科技股份有限公司,2016,1.0,农业,证监会2012年修订版,种子|种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-04-07/1203259229.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.454196,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
300189,海南神农种业科技股份有限公司,2016,1.0,农业,证监会2012年修订版,种子|粮油初加工,不适用,适用,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233014.PDF,24,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.687043,0.333333,否,否,否,是,深度复核,年报勾选业务重大变化适用；业务类别指纹变化较大
300189,海南神农种业科技股份有限公司,2018,1.0,农业,证监会2012年修订版,农药|种子,不适用,不适用,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233015.PDF,26,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.651317,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
300189,海南神农种业科技股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,种子,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-04-26/1219833092.PDF,25,已人工复核（第三批）,2021,0.245929,0.25,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；业务类别指纹变化较大；候选年份不连续，不能视为插值
300498,温氏食品集团股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,乳业|兽药|家禽|屠宰肉制品|生猪,不适用,不适用,https://static.cninfo.com.cn/finalpage/2021-04-22/1209759675.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.681739,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
300761,江苏立华食品集团股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,生猪,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-23/1213055156.PDF,27,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.572961,0.166667,否,否,否,是,深度复核,业务类别指纹变化较大
