stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,issuer_name_change_notice_count,earliest_exact_event_date,exact_event_years,exact_event_types,last_completion_or_progress_notice_date,timing_screen_result,issuer_name_change_notice_titles,issuer_name_change_notice_urls,retrieved_date,scope_caution
002124,深圳证券交易所,天邦食品,天邦食品股份有限公司,9900002441,检索完成,2,2.0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2017-06-01,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于拟变更公司名称的公告 | 关于公司名称变更完成的公告,https://static.cninfo.com.cn/finalpage/2017-04-25/1203377406.PDF | https://static.cninfo.com.cn/finalpage/2017-06-02/1203579250.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002166,深圳证券交易所,莱茵生物,桂林莱茵生物科技股份有限公司,9900003561,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002216,深圳证券交易所,三全食品,三全食品股份有限公司,9900004261,检索完成,1,1.0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2013-07-15,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于变更公司名称的公告,https://static.cninfo.com.cn/finalpage/2013-07-16/62836875.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002234,深圳证券交易所,民和股份,山东民和牧业股份有限公司,9900004604,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002286,深圳证券交易所,保龄宝,保龄宝生物股份有限公司,9900007927,检索完成,1,0,2016-10-14,2016 | 2018 | 2020 | 2023,第七次监测递补名单（111家） | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002311,深圳证券交易所,海大集团,广东海大集团股份有限公司,9900009032,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002321,深圳证券交易所,华英农业,河南华英农业发展股份有限公司,9900009334,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002329,深圳证券交易所,皇氏集团,皇氏集团股份有限公司,9900009827,检索完成,1,1.0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2014-12-30,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于变更公司名称及证券简称的公告,https://static.cninfo.com.cn/finalpage/2014-12-31/1200507078.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002385,深圳证券交易所,大北农,北京大北农科技集团股份有限公司,9900011648,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002390,深圳证券交易所,信邦制药,贵州信邦制药股份有限公司,9900011847,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
