stock_code,exchange,current_short_name,current_legal_full_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,retrieved_date,review_status
002507,深圳证券交易所,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,9900015937,1202753547,关于全资子公司变更名称、注册资本及经营范围的公告,涪陵榨菜,2016-10-12,https://static.cninfo.com.cn/finalpage/2016-10-13/1202753547.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002548,深圳证券交易所,金新农,深圳市金新农科技股份有限公司,9900017829,1202867228,关于完成公司名称、经营范围工商变更登记的公告,金新农,2016-12-09,https://static.cninfo.com.cn/finalpage/2016-12-10/1202867228.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002548,深圳证券交易所,金新农,深圳市金新农科技股份有限公司,9900017829,1209953208,关于公司控股股东名称及注册地址变更的公告,金新农,2021-05-11,https://static.cninfo.com.cn/finalpage/2021-05-12/1209953208.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002566,深圳证券交易所,益盛药业,吉林省集安益盛药业股份有限公司,9900018831,1202368182,关于控股子公司变更公司名称的公告,益盛药业,2016-06-14,https://static.cninfo.com.cn/finalpage/2016-06-15/1202368182.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,61164111,关于全资子公司香港大业投资有限公司名称变更的公告,唐人神,2012-06-20,https://static.cninfo.com.cn/finalpage/2012-06-21/61164111.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,1207824551,中天国富证券有限公司关于公司变更部分募集资金投资项目实施主体、项目名称暨使用募集资金向全资孙公司提供借款用于实施募投项目的核查意见,唐人神,2020-05-18,https://static.cninfo.com.cn/finalpage/2020-05-19/1207824551.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,1207824550,关于变更部分募集资金投资项目实施主体、项目名称暨使用募集资金向全资孙公司提供借款用于实施募投项目的公告,唐人神,2020-05-18,https://static.cninfo.com.cn/finalpage/2020-05-19/1207824550.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,1210184073,中天国富证券有限公司关于公司变更募集资金投资项目名称的核查意见,唐人神,2021-06-07,https://static.cninfo.com.cn/finalpage/2021-06-08/1210184073.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002582,深圳证券交易所,好想你,好想你健康食品股份有限公司,9900019704,1203856819,关于拟变更公司名称的公告,好想你,2017-08-23,https://static.cninfo.com.cn/finalpage/2017-08-24/1203856819.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002582,深圳证券交易所,好想你,好想你健康食品股份有限公司,9900019704,1203975383,关于公司名称变更对公司债券无影响的公告,好想你,2017-09-14,https://static.cninfo.com.cn/finalpage/2017-09-15/1203975383.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002582,深圳证券交易所,好想你,好想你健康食品股份有限公司,9900019704,1203975297,关于完成公司名称变更及工商变更登记的公告,好想你,2017-09-14,https://static.cninfo.com.cn/finalpage/2017-09-15/1203975297.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002650,深圳证券交易所,ST加加,加加食品集团股份有限公司,9900021914,1218607813,关于全资子公司变更公司名称并完成工商变更登记的公告,加加食品,2023-12-13,https://static.cninfo.com.cn/finalpage/2023-12-14/1218607813.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002650,深圳证券交易所,ST加加,加加食品集团股份有限公司,9900021914,1218666299,关于合资公司变更公司名称并完成工商变更登记的公告,加加食品,2023-12-19,https://static.cninfo.com.cn/finalpage/2023-12-20/1218666299.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
