股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
002086,山东东方海洋科技股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-17/1200845873.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.836067,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2016,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-06/1203251063.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.632548,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-05-22/1204979376.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.895629,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-30/1213266521.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.75056,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002086,山东东方海洋科技股份有限公司,2023,4.0,渔业,中国上市公司协会2023版,兽药|水产|贸易零售,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-04-30/1219924758.PDF,18,已人工复核（第一批）,2021,0.908268,0.666667,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002200,云南交投生态科技股份有限公司,2016,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-27/1203405483.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.655986,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002200,云南交投生态科技股份有限公司,2017,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090415.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.600341,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002200,云南交投生态科技股份有限公司,2018,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-25/1206090431.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.78371,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002234,山东民和牧业股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|水产|畜牧其他,不适用,不适用,https://static.cninfo.com.cn/finalpage/2018-04-27/1204800904.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.873387,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002234,山东民和牧业股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|畜牧其他,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-27/1209810808.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.64002,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002234,山东民和牧业股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|畜牧其他,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-03-26/1212685630.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.585621,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002234,山东民和牧业股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,家禽|屠宰肉制品|畜牧其他,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-03-19/1219328941.PDF,21,已人工复核（第二批）,2021,0.560709,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002299,福建圣农发展股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品,不适用,不适用,https://static.cninfo.com.cn/finalpage/2019-03-27/1205941353.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.567872,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002299,福建圣农发展股份有限公司,2021,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-21/1213004638.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.64788,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002321,河南华英农业发展股份有限公司,2019,3.0,畜牧业,证监会2012年修订版,家禽|畜牧其他|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2020-05-30/1207878541.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.56396,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002321,河南华英农业发展股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,家禽|畜牧其他|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2021-08-07/1210688205.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.600463,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002447,大连壹桥海洋苗业股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-11/1200809393.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.715786,0.666667,否,否,否,是,快速表格核对,文本和业务类别相似度分流
