stock_code,year,current_legal_full_name,current_short_name,exchange_final,list_date_final,legal_name_review_status,entry_basis,name_source_url,name_effective_basis,delisting_date,delisting_source_url,industry_entry_candidate,industry_period_short_name,industry_source_period,industry_code,industry_name,industry_period_st_flag,industry_source_agency,industry_classification_standard,industry_local_source_file,industry_sample_status,leading_identity_verified_candidate,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,leading_candidate_status,st_review_status,entry_pool_status,st_any_time_in_year_verified,st_at_year_end_verified,st_interval_source_url,st_interval_end_source_url,st_interval_status,st_audit_status,delisting_arrangement_in_year_verified,delisting_arrangement_source_url
002234,2013,山东民和牧业股份有限公司,民和股份,深圳证券交易所,2008-05-16,交易所当前法人主表已覆盖,行业分类候选,,,,,1,民和股份,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002299,2013,福建圣农发展股份有限公司,圣农发展,深圳证券交易所,2009-10-21,交易所当前法人主表已覆盖,行业分类候选,,,,,1,圣农发展,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002321,2013,河南华英农业发展股份有限公司,华英农业,深圳证券交易所,2009-12-16,交易所当前法人主表已覆盖,行业分类候选,,,,,1,华英农业,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002447,2013,大连壹桥海洋苗业股份有限公司,,,,当年法人全称已由历史法定披露核实,行业分类候选,https://static.cninfo.com.cn/finalpage/2014-04-29/63939981.PDF,当期法定披露标题及证券代码,2022-06-28,https://www.szse.cn/disclosure/notice/general/t20220627_594302.html,1,壹桥苗业,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002458,2013,山东益生种畜禽股份有限公司,益生股份,深圳证券交易所,2010-08-10,交易所当前法人主表已覆盖,行业分类候选,,,,,1,益生股份,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002477,2013,雏鹰农牧集团股份有限公司,,,,当年法人全称已由历史法定披露核实,行业分类候选,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806520.PDF,年度报告附注明确同一统一社会信用代码及上市主体,2019-10-22,https://www.szse.cn/disclosure/notice/general/t20191028_571600.html,1,雏鹰农牧,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002505,2013,湖南大康牧业股份有限公司,,,,当年法人全称已由历史法定披露核实,行业分类候选,https://static.cninfo.com.cn/finalpage/2014-03-08/63651041.PDF,法定收购报告书直接核实,2024-08-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-08-30/c983a041-2be4-48cc-aa93-a91db8411e06.PDF,1,大康牧业,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002679,2013,福建金森林业股份有限公司,福建金森,深圳证券交易所,2012-06-05,交易所当前法人主表已覆盖,行业分类候选,,,,,1,福建金森,2013Q4,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002696,2013,百洋产业投资集团股份有限公司,百洋股份,深圳证券交易所,2012-09-05,交易所当前法人主表已覆盖,行业分类候选,,,,,1,百洋股份,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300087,2013,安徽荃银高科种业股份有限公司,ST荃银,深圳证券交易所,2010-05-26,交易所当前法人主表已覆盖,行业分类候选,,,,,1,荃银高科,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300094,2013,湛江国联水产开发股份有限公司,国联水产,深圳证券交易所,2010-07-08,交易所当前法人主表已覆盖,行业分类候选,,,,,1,国联水产,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300106,2013,新疆西部牧业股份有限公司,西部牧业,深圳证券交易所,2010-08-20,交易所当前法人主表已覆盖,行业分类候选,,,,,1,西部牧业,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300143,2013,盈康生命科技股份有限公司,盈康生命,深圳证券交易所,2010-12-09,交易所当前法人主表已覆盖,行业分类候选,,,,,1,星河生物,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300189,2013,海南神农种业科技股份有限公司,神农种业,深圳证券交易所,2011-03-16,交易所当前法人主表已覆盖,行业分类候选,,,,,1,神农大丰,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
300313,2013,新疆天山畜牧生物工程股份有限公司,天山生物,深圳证券交易所,2012-04-25,交易所当前法人主表已覆盖,行业分类候选,,,,,1,天山生物,2013Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600097,2013,上海开创国际海洋资源股份有限公司,开创国际,上海证券交易所,19970619,交易所当前法人主表已覆盖,行业分类候选,,,,,1,开创国际,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600108,2013,甘肃亚盛实业(集团)股份有限公司,亚盛集团,上海证券交易所,19970818,交易所当前法人主表已覆盖,行业分类候选,,,,,1,亚盛集团,2013Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600257,2013,大湖健康产业股份有限公司,大湖股份,上海证券交易所,20000612,交易所当前法人主表已覆盖,行业分类候选,,,,,1,大湖股份,2013Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600265,2013,云南景谷林业股份有限公司,*ST景谷,上海证券交易所,20000825,交易所当前法人主表已覆盖,行业分类候选,,,,,1,*ST景谷,2013Q4,02,林业,是,中国证监会,《上市公司行业分类指引》（2012年修订）,2013Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：是,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,是,是,https://static.cninfo.com.cn/finalpage/2013-05-02/62447733.PDF,,样本期左截断_终点待闭合,已由法定公告核实本年存在ST风险警示,,
